"Title","Features.Handheld?","Features.Max Players","Features.Multiplatform?","Features.Online?","Metadata.Genres","Metadata.Licensed?","Metadata.Publishers","Metadata.Sequel?","Metrics.Review Score","Metrics.Sales","Metrics.Used Price","Release.Console","Release.Rating","Release.Re-release?","Release.Year","Length.All PlayStyles.Average","Length.All PlayStyles.Leisure","Length.All PlayStyles.Median","Length.All PlayStyles.Polled","Length.All PlayStyles.Rushed","Length.Completionists.Average","Length.Completionists.Leisure","Length.Completionists.Median","Length.Completionists.Polled","Length.Completionists.Rushed","Length.Main + Extras.Average","Length.Main + Extras.Leisure","Length.Main + Extras.Median","Length.Main + Extras.Polled","Length.Main + Extras.Rushed","Length.Main Story.Average","Length.Main Story.Leisure","Length.Main Story.Median","Length.Main Story.Polled","Length.Main Story.Rushed"
"Animal Crossing: Wild World","True","1","True","True","Simulation","True","Nintendo","True","86","2.6","24.95","Nintendo DS","T","True","2005","168.96666666666667","437.3666666666667","80.53333333333333","24","72.36666666666666","408.5833333333333","555.8","314.6666666666667","4","308.3","180.53333333333333","265.1333333333333","180.0","9","105.13333333333334","72.38333333333334","135.58333333333334","70.0","11","45.583333333333336"
"Big Brain Academy","True","1","True","True","Action","True","Nintendo","True","74","1.77","16.95","Nintendo DS","E","True","2005","9.166666666666666","14.066666666666666","7.133333333333334","9","4.566666666666666","16.383333333333333","17.833333333333332","15.0","3","14.916666666666666","8.066666666666666","8.533333333333333","8.066666666666666","2","7.6","4.3","5.35","5.116666666666666","4","2.85"
"Call of Duty 2","True","4","True","True","Action","True","Activision,Konami","True","89","1.69","17.95","X360","E","True","2005","9.233333333333333","14.55","9.0","210","6.55","11.633333333333333","15.7","11.183333333333334","39","8.2","9.6","11.316666666666666","10.0","25","7.4","8.516666666666667","11.366666666666667","8.983333333333333","146","6.366666666666666"
"Midnight Club 3: DUB Edition","True","1","True","True","Racing / Driving","True","Rockstar","True","74","1.69","14.95","Sony PSP","T","True","2005","39.0","46.75","48.0","9","29.25","48.86666666666667","49.4","48.75","4","48.4","49.0","49.5","49.0","2","48.5","19.166666666666668","21.166666666666668","19.5","3","17.166666666666668"
"Need for Speed: Most Wanted 5-1-0","True","1","True","True","Racing / Driving","True","EA","True","72","1.67","14.95","Sony PSP","M","True","2005","11.383333333333333","12.433333333333334","10.333333333333334","3","10.35","0.0","0.0","0.0","0","0.0","9.833333333333334","9.833333333333334","9.833333333333334","1","9.833333333333334","12.166666666666666","13.083333333333334","12.166666666666666","2","11.25"
"Pokmon Mystery Dungeon: Blue Rescue Team","True","1","True","True","Role-Playing (RPG)","True","Nintendo","True","62","1.22","14.95","Nintendo DS","T","True","2005","37.46666666666667","101.01666666666667","25.616666666666667","60","20.266666666666666","111.96666666666667","135.73333333333332","90.0","6","87.98333333333333","39.61666666666667","70.25","38.5","21","29.466666666666665","22.566666666666666","43.916666666666664","23.05","33","15.9"
"Sonic Rush","True","1","True","True","Action","True","Sega","True","82","1.2","14.95","Nintendo DS","E","True","2005","7.916666666666667","13.533333333333333","6.216666666666667","25","5.033333333333333","13.433333333333334","17.35","16.0","5","10.466666666666667","9.433333333333334","10.35","10.0","7","8.183333333333334","4.966666666666667","5.983333333333333","5.0","13","3.9833333333333334"
"Star Wars: Battlefront II","True","1","True","True","Action","True","","True","69","1.09","16.95","Sony PSP","E","True","2005","15.016666666666667","116.0","9.0","99","7.416666666666667","48.9","131.06666666666666","35.36666666666667","14","28.566666666666666","13.416666666666666","16.683333333333334","13.35","25","9.833333333333334","7.783333333333333","11.233333333333333","8.0","60","5.35"
"SOCOM: U.S. Navy SEALs - Fireteam Bravo","True","1","True","True","Action","True","Sony","True","82","1.07","14.95","Sony PSP","E","True","2005","8.583333333333334","8.583333333333334","8.583333333333334","1","8.583333333333334","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","8.583333333333334","8.583333333333334","8.583333333333334","1","8.583333333333334"
"Need for Speed: Most Wanted","True","2","True","True","Racing / Driving","True","EA","True","83","0.95","17.95","X360","E","True","2005","14.6","46.65","12.0","182","8.366666666666667","34.6","56.15","30.0","21","25.216666666666665","15.916666666666666","33.25","14.0","51","12.466666666666667","10.183333333333334","17.033333333333335","10.0","110","6.75"
"Zoo Tycoon DS","True","1","True","True","Simulation,Strategy","True","THQ","True","44","0.92","12.95","Nintendo DS","T","True","2005","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0"
"The Sims 2","True","1","True","True","Role-Playing (RPG),Simulation","True","EA","True","70","0.83","17.95","Nintendo DS","M","True","2005","55.93333333333333","122.7","34.916666666666664","20","29.7","200.0","200.0","200.0","1","200.0","61.55","90.38333333333334","60.0","7","42.0","40.666666666666664","77.9","30.983333333333334","12","24.9"
"Mario & Luigi: Partners in Time","True","1","True","True","Action,Role-Playing (RPG)","True","Nintendo","True","86","0.75","29.95","Nintendo DS","E","True","2005","19.666666666666668","30.316666666666666","18.65","96","14.383333333333333","33.916666666666664","39.21666666666667","40.0","7","27.466666666666665","19.25","24.066666666666666","19.033333333333335","32","16.65","18.15","21.816666666666666","18.016666666666666","57","13.85"
"Madden NFL 06","True","1","True","True","Sports","True","EA","True","75","0.75","7.95","Sony PSP","E","True","2005","3.75","5.366666666666666","3.75","2","2.1166666666666667","3.75","5.366666666666666","3.75","2","2.1166666666666667","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0"
"Need for Speed Underground: Rivals","True","4","True","True","Racing / Driving","True","EA","True","74","0.73","17.95","Sony PSP","E","True","2005","22.366666666666667","28.033333333333335","20.466666666666665","3","16.7","27.566666666666666","31.116666666666667","27.566666666666666","2","24.016666666666666","0.0","0.0","0.0","0","0.0","12.0","12.0","12.0","1","12.0"
"Twisted Metal: Head-On","True","1","True","True","Action,Racing / Driving","True","Sony","True","79","0.73","14.95","Sony PSP","E","True","2005","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0"
"Perfect Dark Zero","True","4","True","True","Action","True","Microsoft","True","79","0.7","17.95","X360","E","True","2005","9.3","20.683333333333334","8.0","33","6.316666666666666","28.85","30.783333333333335","28.85","2","26.916666666666668","10.166666666666666","11.283333333333333","10.0","3","9.033333333333333","7.816666666666666","10.0","8.0","28","5.95"
"Super Monkey Ball: Touch & Roll","True","1","True","True","Action","True","Sega","True","63","0.7","15.95","Nintendo DS","T","True","2005","1.45","2.75","0.5666666666666667","9","0.5833333333333334","0.0","0.0","0.0","0","0.0","3.55","4.016666666666667","3.55","2","3.0833333333333335","0.85","2.1666666666666665","0.4666666666666667","7","0.4"
"Super Princess Peach","True","1","True","True","Action","True","Nintendo","True","75","0.7","29.95","Nintendo DS","T","True","2005","11.0","19.583333333333332","9.283333333333333","22","7.816666666666666","17.783333333333335","23.4","17.783333333333335","6","13.466666666666667","9.1","10.833333333333334","9.25","9","7.583333333333333","7.616666666666667","9.083333333333334","7.0","7","6.4"
"Burnout Legends","True","1","True","True","Action,Racing / Driving","True","EA","True","86","0.68","14.95","Sony PSP","T","True","2005","12.833333333333334","18.2","12.0","14","9.0","15.366666666666667","18.916666666666668","16.25","4","11.383333333333333","14.083333333333334","18.516666666666666","12.0","7","10.033333333333333","6.516666666666667","6.866666666666667","7.0","3","6.166666666666667"
"Madden NFL 06","True","2","True","True","Sports","True","EA","True","74","0.62","4.95","X360","E","True","2005","3.75","5.366666666666666","3.75","2","2.1166666666666667","3.75","5.366666666666666","3.75","2","2.1166666666666667","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0"
"Clubhouse Games","True","1","True","True","Strategy","True","Nintendo","True","83","0.61","17.95","Nintendo DS","E","True","2005","20.0","20.0","20.0","1","20.0","20.0","20.0","20.0","1","20.0","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0"
"ATV Offroad Fury: Blazin' Trails","True","4","True","True","Racing / Driving,Sports","True","Sony","True","63","0.56","12.95","Sony PSP","T","True","2005","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0"
"Untold Legends: Brotherhood of the Blade","True","1","True","True","Action,Role-Playing (RPG)","True","Activision,Sony","True","68","0.56","12.95","Sony PSP","M","True","2005","21.0","21.5","21.0","2","20.5","0.0","0.0","0.0","0","0.0","22.0","22.0","22.0","1","22.0","20.0","20.0","20.0","1","20.0"
"Tony Hawk's Underground 2: Remix","True","1","True","True","Sports","True","Activision","True","83","0.49","14.95","Sony PSP","T","True","2005","23.45","23.45","23.45","1","23.45","23.45","23.45","23.45","1","23.45","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0"
"The Sims 2","True","1","True","True","Simulation,Strategy","True","EA","True","65","0.46","14.95","Sony PSP","T","True","2005","55.93333333333333","122.7","34.916666666666664","20","29.7","200.0","200.0","200.0","1","200.0","61.55","90.38333333333334","60.0","7","42.0","40.666666666666664","77.9","30.983333333333334","12","24.9"
"WipEout Pure","True","1","True","True","Action,Racing / Driving","True","Sony","True","88","0.45","12.95","Sony PSP","E","True","2005","9.516666666666667","14.583333333333334","8.8","8","6.383333333333334","0.0","0.0","0.0","0","0.0","14.2","16.55","12.0","3","11.85","6.716666666666667","9.666666666666666","6.0","5","4.983333333333333"
"NBA Live 06","True","1","True","True","Sports","True","EA","True","80","0.42","9.95","Sony PSP","E","True","2005","4.0","4.0","4.0","1","4.0","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","4.0","4.0","4.0","1","4.0"
"WWE Smackdown vs. Raw 2006","True","4","True","True","Action,Sports","True","THQ","True","81","0.38","14.95","Sony PSP","T","True","2005","19.5","47.233333333333334","9.416666666666666","14","10.083333333333334","46.483333333333334","59.483333333333334","31.483333333333334","3","33.483333333333334","31.0","35.5","31.0","2","26.5","7.966666666666667","9.6","8.0","9","6.85"
"Dead or Alive 4","True","4","True","True","Action","True","","True","85","0.38","17.95","X360","E","True","2005","27.383333333333333","158.33333333333334","6.0","25","8.5","138.75","209.05","97.5","4","89.05","11.066666666666666","15.266666666666667","10.0","7","7.766666666666667","3.7333333333333334","5.4","3.85","14","2.066666666666667"
"Phoenix Wright: Ace Attorney","True","1","True","True","Adventure,Simulation","True","Capcom","True","81","0.38","24.95","Nintendo DS","E","True","2005","19.683333333333334","32.18333333333333","19.05","240","12.183333333333334","22.35","33.36666666666667","21.166666666666668","87","14.116666666666667","23.316666666666666","29.3","23.0","30","16.566666666666666","16.916666666666668","25.733333333333334","16.266666666666666","123","10.8"
"Spider-Man 2","True","1","True","True","Action","True","Activision","True","67","0.38","14.95","Sony PSP","M","True","2005","13.25","48.38333333333333","10.0","37","7.066666666666666","72.56666666666666","78.86666666666666","72.56666666666666","2","66.28333333333333","12.766666666666667","17.316666666666666","12.5","12","10.483333333333333","8.35","11.083333333333334","8.0","23","5.333333333333333"
"NFL Street 2","True","4","True","True","Sports","True","EA","True","73","0.37","17.95","Sony PSP","T","True","2005","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0"
"Kirby: Canvas Curse","True","1","True","True","Action","True","Nintendo","True","86","0.37","17.95","Nintendo DS","T","True","2005","7.4","14.266666666666667","5.666666666666667","40","4.583333333333333","16.116666666666667","19.016666666666666","15.966666666666667","6","12.266666666666667","9.7","13.183333333333334","9.5","6","6.683333333333334","5.033333333333333","7.45","4.8","28","3.783333333333333"
"Battlefield 2: Modern Combat","True","4","True","True","Action","True","EA","True","77","0.36","16.95","X360","E","True","2005","7.316666666666666","8.1","6.933333333333334","4","6.716666666666667","0.0","0.0","0.0","0","0.0","9.066666666666666","9.066666666666666","9.066666666666666","1","9.066666666666666","6.733333333333333","6.95","6.666666666666667","3","6.516666666666667"
"Yoshi Touch & Go","True","1","True","True","Action","True","Nintendo","True","73","0.36","17.95","Nintendo DS","T","True","2005","4.5","5.25","4.5","2","3.75","0.0","0.0","0.0","0","0.0","6.0","6.0","6.0","1","6.0","3.0","3.0","3.0","1","3.0"
"Tiger Woods PGA Tour 06","True","4","True","True","Sports","True","EA","True","71","0.33","9.95","X360","T","True","2005","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0"
"Condemned: Criminal Origins","True","1","True","True","Action,Adventure","True","Sega","True","81","0.33","14.95","X360","E","True","2005","8.166666666666666","14.866666666666667","7.55","156","5.916666666666667","14.15","15.416666666666666","15.0","7","12.283333333333333","9.533333333333333","15.583333333333334","9.0","42","7.183333333333334","7.25","11.05","7.0","107","5.55"
"Peter Jackson's King Kong: The Official Game of...","True","2","True","True","Action","True","Ubisoft","True","80","0.32","14.95","X360","T","True","2005","6.966666666666667","8.583333333333334","7.0","49","5.483333333333333","7.583333333333333","8.983333333333333","8.0","17","6.55","6.8","8.333333333333334","6.566666666666666","10","5.833333333333333","6.583333333333333","8.383333333333333","7.0","22","5.383333333333334"
"Castlevania: Dawn of Sorrow","True","1","True","True","Action,Role-Playing (RPG)","True","Konami","True","89","0.31","17.95","Nintendo DS","T","True","2005","16.033333333333335","62.45","13.0","130","9.75","30.016666666666666","69.18333333333334","26.0","19","20.25","15.483333333333333","32.36666666666667","14.0","63","10.533333333333333","11.216666666666667","16.15","10.416666666666666","48","7.9"
"SpongeBob SquarePants: The Yellow Avenger","True","1","True","True","Action","True","THQ","True","67","0.31","13.95","Nintendo DS","E","True","2005","11.85","13.783333333333333","11.85","2","9.916666666666666","15.7","15.7","15.7","1","15.7","0.0","0.0","0.0","0","0.0","8.0","8.0","8.0","1","8.0"
"Marvel Nemesis: Rise of the Imperfects ","True","1","True","True","Action","True","EA","True","58","0.31","17.95","Sony PSP","T","True","2005","5.033333333333333","6.15","4.583333333333333","8","4.133333333333334","0.0","0.0","0.0","0","0.0","6.15","7.15","7.5","3","5.133333333333334","4.366666666666666","4.633333333333333","4.166666666666667","5","3.966666666666667"
"Kameo: Elements of Power","True","1","True","True","Action","True","Microsoft","True","79","0.31","11.95","X360","T","True","2005","10.033333333333333","14.55","10.2","43","7.283333333333333","17.0","17.0","17.0","1","17.0","11.433333333333334","15.1","11.0","12","9.483333333333333","9.25","10.7","8.95","30","6.783333333333333"
"Advance Wars: Dual Strike","True","1","True","True","Strategy","True","Nintendo","True","90","0.3","17.95","Nintendo DS","T","True","2005","70.36666666666666","249.55","27.833333333333332","34","33.55","292.5","360.6166666666667","250.0","4","245.61666666666667","73.86666666666666","102.76666666666667","63.833333333333336","10","54.416666666666664","24.2","27.933333333333334","23.566666666666666","20","20.933333333333334"
"Trauma Center: Under the Knife","True","1","True","True","Action,Simulation","True","Nintendo","True","81","0.3","15.95","Nintendo DS","T","True","2005","8.75","11.75","8.266666666666667","32","6.75","9.066666666666666","11.566666666666666","7.216666666666667","3","6.566666666666666","11.433333333333334","13.35","12.0","5","10.35","8.15","9.916666666666666","8.0","24","6.65"
"Coded Arms","True","1","True","True","Action","True","Konami","True","59","0.3","12.95","Sony PSP","M","True","2005","7.066666666666666","8.266666666666667","6.0","5","5.583333333333333","0.0","0.0","0.0","0","0.0","8.566666666666666","9.566666666666666","9.716666666666667","3","7.566666666666666","4.816666666666666","4.9","4.816666666666666","2","4.733333333333333"
"NBA LIVE 06 ","True","1","True","True","Sports","True","EA","True","64","0.29","4.95","X360","E","True","2005","4.0","4.0","4.0","1","4.0","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","4.0","4.0","4.0","1","4.0"
"Tony Hawk's American Wasteland","True","1","True","True","Sports","True","Activision","True","75","0.29","14.95","X360","E","True","2005","12.883333333333333","14.966666666666667","13.0","18","9.266666666666667","15.0","16.0","15.0","2","14.0","13.666666666666666","14.533333333333333","13.0","7","12.666666666666666","11.8","13.45","12.0","9","8.75"
"Star Wars: Episode III - Revenge of the Sith","True","1","True","True","Action","True","Ubisoft","True","73","0.28","16.95","Nintendo DS","E","True","2005","5.1","6.016666666666667","5.0","25","4.016666666666667","6.266666666666667","6.683333333333334","6.5","3","5.85","5.616666666666667","6.283333333333333","5.55","7","4.783333333333333","4.616666666666667","5.216666666666667","5.0","15","3.9"
"Capcom Classics Collection Remixed","True","1","True","True","Action","True","Capcom","True","72","0.28","17.95","Sony PSP","E","True","2005","35.666666666666664","35.666666666666664","35.666666666666664","1","35.666666666666664","0.0","0.0","0.0","0","0.0","35.666666666666664","35.666666666666664","35.666666666666664","1","35.666666666666664","0.0","0.0","0.0","0","0.0"
"Madagascar","True","1","True","True","Adventure","True","Activision","True","66","0.27","14.95","Nintendo DS","E","True","2005","6.683333333333334","9.166666666666666","6.0","12","4.916666666666667","0.0","0.0","0.0","0","0.0","9.5","10.866666666666667","10.0","4","7.866666666666667","5.283333333333333","6.066666666666666","5.0","8","4.316666666666666"
"X-Men: Legends II - Rise of Apocalypse","True","1","True","True","Action,Role-Playing (RPG)","True","Activision","True","84","0.27","17.95","Sony PSP","M","True","2005","22.333333333333332","32.083333333333336","22.0","18","18.083333333333332","23.566666666666666","24.783333333333335","23.566666666666666","2","22.35","21.883333333333333","31.966666666666665","22.0","9","17.966666666666665","22.566666666666666","27.983333333333334","22.0","7","19.05"
"Quake 4","True","1","True","True","Action","True","Activision","True","75","0.27","14.95","X360","E","True","2005","9.133333333333333","15.966666666666667","8.45","110","6.383333333333334","13.6","18.233333333333334","13.0","13","10.15","10.5","12.133333333333333","10.033333333333333","26","8.383333333333333","7.8","10.75","8.0","71","5.95"
"Pokmon Trozei!","True","1","True","True","Strategy","True","Nintendo","True","74","0.26","19.95","Nintendo DS","E","True","2005","3.2333333333333334","4.033333333333333","2.9333333333333336","5","2.85","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","3.2333333333333334","4.033333333333333","2.9333333333333336","5","2.85"
"Need for Speed: Most Wanted","True","1","True","True","Racing / Driving","True","EA","True","45","0.25","15.95","Nintendo DS","E","True","2005","14.6","46.65","12.0","182","8.366666666666667","34.6","56.15","30.0","21","25.216666666666665","15.916666666666666","33.25","14.0","51","12.466666666666667","10.183333333333334","17.033333333333335","10.0","110","6.75"
